ID_Anuncio,Marca,Modelo,Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Carroceria,Preco_Real,Percentual_FIPE,Estado
69553636,TOYOTA,COROLLA,2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2013,2014.0,175000.0,Automática,Sedã,78900.0,110.0,São Paulo (SP)
69240027,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024.0,54000.0,CVT,Sedã,189000.0,132.0,São Paulo (SP)
66467809,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS CVT,2022,2023.0,69613.0,CVT,Sedã,149900.0,105.0,São Paulo (SP)
67678706,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2017.0,124000.0,Automática,Sedã,97900.0,111.0,São Paulo (SP)
64933761,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2013,2014.0,153505.0,Automática,Sedã,67800.0,104.0,São Paulo (SP)
68867144,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2023,2024.0,33359.0,Automática,Sedã,124880.0,99.0,São Paulo (SP)
69569804,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,22365.0,Automática,Sedã,141290.0,111.0,São Paulo (SP)
69568363,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,96841.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
69569015,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS CVT,2021,2022.0,91607.0,Automática,Sedã,156690.0,118.0,São Paulo (SP)
69567337,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025.0,6163.0,Automática,Sedã,165390.0,104.0,São Paulo (SP)
69578397,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,97188.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
69569326,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,54397.0,Automática,Sedã,133090.0,104.0,São Paulo (SP)
69578399,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,97188.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
69569270,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,27065.0,Automática,Sedã,143790.0,113.0,São Paulo (SP)
69569436,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,97291.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
69569261,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,27065.0,Automática,Sedã,143790.0,113.0,São Paulo (SP)
69569275,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,27065.0,Automática,Sedã,143790.0,113.0,São Paulo (SP)
69569325,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,54397.0,Automática,Sedã,133090.0,104.0,São Paulo (SP)
69569814,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,61886.0,Automática,Sedã,133990.0,105.0,São Paulo (SP)
69569267,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,88524.0,Automática,Sedã,132390.0,104.0,São Paulo (SP)
66905291,TOYOTA,COROLLA,2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2016,2017.0,109900.0,Automática,Sedã,89990.0,100.0,São Paulo (SP)
69569429,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,97291.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
69569343,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,54397.0,Automática,Sedã,133090.0,104.0,São Paulo (SP)
69569252,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,88524.0,Automática,Sedã,132390.0,104.0,São Paulo (SP)
69569521,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,77071.0,Automática,Sedã,133090.0,104.0,São Paulo (SP)
69589689,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024.0,99850.0,Automática,Sedã,134990.0,95.0,São Paulo (SP)
69569541,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,77071.0,Automática,Sedã,133090.0,104.0,São Paulo (SP)
69568359,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,96841.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
69578405,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,97188.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
69570401,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,46510.0,Automática,Sedã,136090.0,107.0,São Paulo (SP)
69578400,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,97188.0,Automática,Sedã,130990.0,103.0,São Paulo (SP)
